product_id,product_title,category,current_price,current_rating,total_predicted,avg_daily,avg_lower,avg_upper,predicted_revenue,confidence_range
AMZ000125,CleanLife Cleaning - Premium Quality #125,Health & Household,48.32,3.8,106577,3552.5666666666666,2262.5333333333333,4842.7,5149800.64,2580.1666666666665
AMZ000091,WorkSmart Printer Supplies - Premium Quality #91,Office Products,151.06,3.8,22501,750.0333333333333,329.1666666666667,1170.9666666666667,3399001.06,841.8
AMZ000444,CarCare Car Accessories - Premium Quality #444,Automotive,68.09,3.4,21677,722.5666666666667,549.4,895.7666666666667,1475986.9300000002,346.3666666666667
AMZ000049,AudioMax Tablets - Premium Quality #49,Electronics,873.5,5.0,17180,572.6666666666666,322.1333333333333,823.3333333333334,15006730.0,501.20000000000005
AMZ000276,CleanLife Wellness - Premium Quality #276,Health & Household,47.48,3.9,14779,492.6333333333333,384.26666666666665,600.9666666666667,701706.9199999999,216.70000000000005
AMZ000377,RadiancePro Hair Care - Premium Quality #377,Beauty & Personal Care,29.37,4.7,13111,437.03333333333336,238.13333333333333,635.8666666666667,385070.07,397.73333333333335
AMZ000084,NaturaEssence Skincare - Premium Quality #84,Beauty & Personal Care,18.88,4.9,12016,400.53333333333336,245.0,556.3,226862.08,311.29999999999995
AMZ000329,PureLiving Vitamins - Premium Quality #329,Health & Household,17.64,2.9,11916,397.2,241.53333333333333,552.6666666666666,210198.24000000002,311.1333333333333
AMZ000305,CleanLife Cleaning - Premium Quality #305,Health & Household,32.45,3.8,11666,388.8666666666667,171.9,605.8333333333334,378561.7,433.9333333333334
AMZ000438,NaturaEssence Hair Care - Premium Quality #438,Beauty & Personal Care,151.93,4.3,10687,356.23333333333335,50.666666666666664,670.1,1623675.9100000001,619.4333333333334
AMZ000158,UrbanFit Men's Clothing - Premium Quality #158,Clothing & Accessories,171.77,3.9,10439,347.96666666666664,239.43333333333334,456.3333333333333,1793107.03,216.89999999999998
AMZ000431,CozyHome Bedding - Premium Quality #431,Home & Kitchen,90.44,4.8,9706,323.53333333333336,148.83333333333334,498.3666666666667,877810.64,349.5333333333333
AMZ000154,CleanLife Cleaning - Premium Quality #154,Health & Household,36.06,3.2,8300,276.6666666666667,121.3,432.23333333333335,299298.0,310.93333333333334
AMZ000494,SportFlex Cycling - Premium Quality #494,Sports & Outdoors,260.13,3.8,7364,245.46666666666667,138.6,352.4,1915597.32,213.79999999999998
AMZ000199,NaturaEssence Grooming - Premium Quality #199,Beauty & Personal Care,78.18,4.2,7000,233.33333333333334,157.26666666666668,309.3666666666667,547260.0,152.1
